Title,Title_URL,Image,Image1,Price
CND ESSENTIAL SHORT BLACK,https://colkidsclub.vn/products/cnd-essential-short-black,https://product.hstatic.net/200000436739/product/f732495c-89e6-45b4-b5e9-9e2359ebd7d0_cb7c0d195ed74603a21b4c1dc1d878c6_grande.jpeg,https://product.hstatic.net/200000436739/product/54f18c20-46e9-485c-9d64-fc13a6a2a975_b5f4d18861304d41bf7c3cb96e472375_grande.jpeg,"350,000₫"
CND HOODIE COLKIDS GRAPHIC MINT,https://colkidsclub.vn/products/cnd-hoodie-colkids-graphic-mint,https://product.hstatic.net/200000436739/product/3aecb8e9-66e5-4702-90c0-331599df486d_a109c4cb1e3944239f87dc32281cba69_grande.jpeg,https://product.hstatic.net/200000436739/product/d8d9aec0-1e85-4eb8-815e-2f7d8b11aa1d_6af4d1e38f7f47bab471d13a850bb191_grande.jpeg,"500,000₫"
CND ESSENTIAL HOODIE GREY / WHITE,https://colkidsclub.vn/products/cnd-essential-hoodie-grey-white,https://product.hstatic.net/200000436739/product/aaf747c8-546a-4493-8ef0-dd0086a7c6f4_b9fe95c42a5845338e33ec30dce97920_grande.jpeg,https://product.hstatic.net/200000436739/product/2633a244-2e42-4935-acf7-764084a93785_411e1f40aa2b466f9333030e217a2597_grande.jpeg,"580,000₫"
CND CV WASH BLUE,https://colkidsclub.vn/products/cnd-cv-wash-blue,https://product.hstatic.net/200000436739/product/ff69ffb7-0fb7-4d22-9f2d-893935dbbb86_0c65139ebd904b04b6616b88693dc8f2_grande.jpeg,https://product.hstatic.net/200000436739/product/8b35d8bc-c928-4a22-8115-0deb83ce1dc6_737bc98adc574cfaaf1a1eacc34b39cb_grande.jpeg,"320,000₫"
CND SUMMER TEE TAN,https://colkidsclub.vn/products/cnd-inter-tee-tan,https://product.hstatic.net/200000436739/product/3349756d-110a-4143-95c8-1016e6e32a34_c61f25ef050f42cfae8f34381c57c81c_grande.jpeg,https://product.hstatic.net/200000436739/product/7f282b79-9fae-4f85-b3d7-ecdbe5683d16_94cb864ad40d4c2eb05c50ba530c734f_grande.jpeg,"320,000₫"
CND INTER TEE WHITE,https://colkidsclub.vn/products/cnd-inter-tee-white,https://product.hstatic.net/200000436739/product/9e1e23f6-04b5-459f-8847-317db2ab2e31_164a47540c1a4018bce354e5e381bdce_grande.jpeg,https://product.hstatic.net/200000436739/product/27e2f27c-fcff-4878-8985-ef173cbf895d_bbf0f689887a4da594de53b93a3e2887_grande.jpeg,"320,000₫"
CND INTER TEE BLACK,https://colkidsclub.vn/products/cnd-inter-tee-black,https://product.hstatic.net/200000436739/product/06640e53-bd0f-4e0e-9907-27c383e2b48a_e718f3e7150f4d8eb0d8f59e3f7f38ed_grande.jpeg,https://product.hstatic.net/200000436739/product/f0f68f7a-3122-4719-b5a8-06b62b9b77e5_933217f3ea58431fb7d0c696722b3680_grande.jpeg,"320,000₫"
CND INTER TEE  CREAM,https://colkidsclub.vn/products/cnd-inter-tee-cream,https://product.hstatic.net/200000436739/product/87d24a8b-cc8c-4cfd-a751-962546561be7_79824f18f26740f095af7fe0c735be32_grande.jpeg,https://product.hstatic.net/200000436739/product/0c3bafbc-9a83-4c7b-89b0-79e344463ec4_4b8f569318da47cf847886da3cc72758_grande.jpeg,"320,000₫"
CND INTER TEE TAN,https://colkidsclub.vn/products/cnd-summer-tan,https://product.hstatic.net/200000436739/product/5305955f-35d6-4168-97fb-739fc5ae5e57_d23c03d8cd8548e8b013ad4a78ad691d_grande.jpeg,https://product.hstatic.net/200000436739/product/7550a541-ab33-470b-a3b9-759c9742774c_102de157daea475582655c72d66bdfda_grande.jpeg,"320,000₫"
CND SUMMER TEE COFFEE,https://colkidsclub.vn/products/cnd-summer-tee-coffee,https://product.hstatic.net/200000436739/product/edc7b35f-e504-4ea2-8c9c-a892c89c2d12_450517ed14634c9a93eed8054ba2818c_grande.jpeg,https://product.hstatic.net/200000436739/product/4dc57c5d-69fe-47c1-9d07-aad79118e7f3_08473fa5b42f47e9b1c5b30bca98757e_grande.jpeg
